,Player,Position,Team,Age,Club,Games,Shots,Goals,Touches,Passes
507,Ousmane Dembélé,FW,France,25-217,Barcelona,7,8,0,241.0,191.0
235,Guillermo Varela,DF,Uruguay,29-269,Flamengo,3,0,0,109.0,92.0
318,Josip Šutalo,DF,Croatia,22-293,Dinamo Zagreb,1,0,0,73.0,66.0
650,Wéverton,GK,Brazil,35-005,Palmeiras,1,0,0,5.0,5.0
188,Eray Cömert,DF,Switzerland,24-317,Valencia,2,0,0,50.0,42.0
141,Damian Szymański,MF,Poland,27-185,AEK Athens,1,0,0,9.0,8.0
476,Nayef Aguerd,DF,Morocco,26-263,West Ham,4,1,0,185.0,158.0
184,Emiliano Martínez,GK,Argentina,30-107,Aston Villa,7,0,0,196.0,187.0
251,Hiroki Sakai,MF,Japan,32-250,Urawa Reds,2,1,0,70.0,47.0
460,Mohammed Salisu,DF,Ghana,23-245,Southampton,3,2,1,184.0,151.0
496,Noa Lang,MF,Netherlands,23-184,Club Brugge,1,0,0,5.0,3.0
549,Rodri,DF,Spain,26-179,Manchester City,4,1,0,710.0,689.0
12,Abdulrahman Al-Aboud,MF,Saudi Arabia,27-200,Al-Ittihad,2,1,0,22.0,13.0
137,César Montes,DF,Mexico,25-297,Monterrey,3,1,0,222.0,197.0
591,Sofiane Boufal,FW,Morocco,29-092,Angers,7,7,0,199.0,133.0
564,Saad Al Sheeb,GK,Qatar,32-302,Al Sadd SC,1,0,0,22.0,20.0
523,Pierre Højbjerg,MF,Denmark,27-135,Tottenham,3,2,0,249.0,224.0
138,Daichi Kamada,FW,Japan,26-135,Eint Frankfurt,4,6,0,139.0,104.0
531,Raphaël Guerreiro,DF,Portugal,28-361,Dortmund,4,3,1,207.0,185.0
527,Rafael Leão,FW,Portugal,23-191,Milan,5,5,2,63.0,47.0
77,Awer Mabil,MF,Australia,27-094,Cádiz,2,0,0,18.0,14.0
203,Ferrán Torres,FW,Spain,22-292,Barcelona,4,3,2,115.0,85.0
647,William Saliba,DF,France,21-269,Arsenal,1,0,0,38.0,37.0
308,Jordan Henderson,MF,England,32-184,Liverpool,4,2,1,179.0,163.0
629,Tyler Adams,MF,United States,23-307,Leeds United,4,1,0,307.0,271.0
60,Ansu Fati,FW,Spain,20-048,Barcelona,2,0,0,33.0,29.0
379,Lawrence Ati-Zigi,GK,Ghana,26-019,St. Gallen,3,0,0,87.0,78.0
348,Kasper Schmeichel,GK,Denmark,36-043,Nice,3,0,0,91.0,87.0
6,Abdou Diallo,DF,Senegal,26-228,RB Leipzig,4,1,0,210.0,186.0
508,Pablo Sarabia,FW,Spain,30-221,Paris S-G,1,1,0,6.0,5.0
457,Mohammed Al-Breik,DF,Saudi Arabia,30-094,Al-Hilal,2,2,0,57.0,48.0
222,Ghaylène Chaalali,MF,Tunisia,28-293,Espérance de Tunis,1,0,0,11.0,4.0
101,Brenden Aaronson,MF,United States,22-057,Leeds United,4,1,0,78.0,50.0
14,Achraf Dari,DF,Morocco,23-226,Brest,3,1,1,139.0,111.0
273,Ivan Perišić,FW,Croatia,33-319,Tottenham,7,16,1,378.0,292.0
161,Denis Odoi,DF,Ghana,34-205,Club Brugge,1,0,0,7.0,2.0
268,Ismail Mohamad,FW,Qatar,32-257,Al Duhail SC,2,2,0,,
532,Raphaël Varane,DF,France,29-237,Manchester Utd,6,3,0,322.0,286.0
64,Antoine Semenyo,FW,Ghana,22-345,Bristol City,2,1,0,6.0,2.0
588,Shūichi Gonda,GK,Japan,33-290,S-Pulse,4,0,0,124.0,113.0
550,Rodrigo Bentancur,MF,Uruguay,25-176,Tottenham,3,3,0,197.0,160.0
249,Hidemasa Morita,MF,Japan,27-222,Sporting CP,3,3,0,192.0,157.0
97,Boualem Khoukhi,DF,Qatar,32-162,Al Sadd SC,3,0,0,232.0,197.0
381,Leandro Paredes,MF,Argentina,28-172,Juventus,5,1,0,269.0,246.0
547,Robert Skov,DF,Denmark,26-212,Hoffenheim,1,0,0,24.0,21.0
104,Bruno Guimarães,MF,Brazil,25-032,Newcastle Utd,2,5,0,67.0,54.0
299,Joe Morrell,MF,Wales,25-349,Portsmouth,2,0,0,24.0,14.0
396,Luis Suárez,FW,Uruguay,35-328,Nacional,3,2,0,52.0,40.0
31,Alexis Vega,FW,Mexico,25-023,Guadalajara,3,9,0,85.0,56.0
280,Jamal Musiala,MF,Germany,19-295,Bayern Munich,3,12,0,163.0,105.0
287,Jeong Woo-yeong,MF,Korea Republic,23-089,Freiburg,1,1,0,20.0,15.0
295,Jhegson Méndez,MF,Ecuador,25-236,Los Angeles FC,2,0,0,150.0,140.0
88,Bamba Dieng,FW,Senegal,22-270,Marseille,4,4,1,32.0,16.0
621,Thomas Müller,FW,Germany,33-096,Bayern Munich,3,3,0,91.0,78.0
551,Rodrigo De Paul,MF,Argentina,28-208,Atlético Madrid,7,7,0,625.0,562.0
473,Nathan Aké,DF,Netherlands,27-303,Manchester City,5,0,0,393.0,349.0
372,Kudus Mohammed,FW,Ghana,22-138,Ajax,3,8,2,118.0,87.0
304,Jonas Hofmann,FW,Germany,30-157,M'Gladbach,2,1,0,24.0,20.0
346,Karol Świderski,FW,Poland,25-329,Charlotte,1,0,0,14.0,7.0
153,Darwin Núñez,FW,Uruguay,23-177,Liverpool,3,3,0,85.0,56.0
127,Christian Pulisic,FW,United States,24-091,Chelsea,4,9,1,187.0,141.0
285,Jawad El Yamiq,DF,Morocco,30-292,Valladolid,6,2,0,202.0,164.0
601,Steven Bergwijn,FW,Netherlands,25-071,Ajax,4,2,0,85.0,72.0
673,Álvaro Zamora,MF,Costa Rica,20-284,Deportivo Saprissa,1,0,0,9.0,5.0
613,Teun Koopmeiners,MF,Netherlands,24-293,Atalanta,5,2,0,149.0,119.0
365,Kingsley Coman,FW,France,26-188,Bayern Munich,6,1,0,102.0,72.0
30,Alexis Mac Allister,MF,Argentina,23-359,Brighton,6,7,1,332.0,265.0
