Name,Appearances
James Proudstar,320
Angelica Jones,319
Edward Brock,318
MacDonald Gargan,317
Mephisto,316
Tabitha Smith,316
Jean-Paul Beaubier,313
Daniel Ketch,311
Neena Thurman,310
Wong,306
Thanos,306
Shang-Chi,296
Alicia Masters,293
Robert Baldwin,293
Vance Astrovik,290
Wendell Vaughn,290
Chili Storm,284
Abner Jenkins,284
Elektra Natchios,280
Bullseye,277
Forge,276
Virginia Potts,274
Walter Langkowski,273
Gorgon,272
James Madrox,271
Heimdall,270
Theresa Cassidy,267
Laura Kinney,265
Arthur Douglas,264
Peter Parker,263
Warlock,261
Kevin Plunder,260
Leonard Samson,260
Melissa Gold,260
Lockheed,260
Mercedes Knight,259
Moira Kinross,259
Karnak,257
Namorita Prentiss,257
Lockjaw,255
Adam Warlock,252
Heather McNeil,252
Curtis Connors,250
Theodore Sallis,249
Adrian Toomes,248
Amora,247
Clea,247
Mar-Vell,245
Eugene Judd,245
Daimon Hellstrom,242
John Jonah Jameson III,240
Triton,240
Meggan Puceanu,240
Robert Reynolds,240
Aleksei Sytsevich,239
Santo Vaccarro,238
Jonathan Clay,237
Ares,236
Sersi,236
Guido Carosella,236
Zabu,234
Michael Morbius,231
Julio Richter,231
Phoenix Force,229
Megan Gwynn,229
Kyle Richmond,227
Karen Page,226
Tyrone Johnson,226
Maxwell Dillon,225
Valerie Cooper,225
Anna May,224
Vlad Dracula,223
Tandy Bowen,222
Monet St. Croix,221
Gamora,218
Amara Aquilla,217
Julia Carpenter,212
Jane Foster,211
Mortimer Toynbee,210
Scott Lang,209
Paige Guthrie,207
Benjamin Parker,205
Erik Josten,204
Jeanne-Marie Beaubier,203
Carl Creel,202
Gloria Grant,202
Michael Twoyoungmen,200
Hope Summers,200
Eric Masterson,198
Alexander Power,197
Matthew Hawk,195
Jessica Jones,195
Frederick Dukes,194
Eric Brooks,194
Eros,193
Madison Jeffries,193
Mandarin,190
The Wizard,189
Akihiro,189
Sergei Kravinoff,188
Jonothon Starsmore,187
Helmut Zemo,184
Victor Borkowski,184
Edward Leeds,181
Ultron,181
Douglas Ramsey,181
Quentin Beck,180
Herbert Wyndham,179
Julian Keller,179
Jack Russell,178
Celeste Cuckoo,177
Valentina Allegra de Fontaine,176
Ophelia Sarkissian,175
Colleen Wing,175
Irma Cuckoo,175
Sebastian Shaw,174
Phoebe Cuckoo,174
Sage,172
Valeria Richards,171
Donald Blake,170
Hela,170
Lilandra Neramani,170
Henry Gyrich,170
Dwayne Taylor,169
Harold Hogan,166
Redwing,165
Christopher Powell,165
Harvey Elder,164
Wolfgang von Strucker,164
Dirk Garthwaite,164
Pip Gofern,163
Tony Masters,163
David Lieberman,163
James Hudson,161
Miles Warren,160
Kallark,160
En Sabah Nur,160
Shiro Yoshida,158
Silver Sablinova,158
Elvin Haliday,158
James Bradley,158
Calvin Zabo,157
Frederick Myers,157
Mantis,156
Marlene Alraune,156
Rachel Leighton,156
Veranke,156
Nathaniel Essex,155
Anthony Druid,153
Cassandra Lang,153
Beta Ray Bill,153
Samuel Sterns,152
Leech,152
Glenn Talbot,151
Bug,151
Peter Petruski,150
Julie Power,150
Giuletta Nefaria,149
Robert Ralston,148
Maximus,147
Genis-Vell,147
Hisako Ichiki,147
Dmitri Smerdyakov,146
Eliot Franklin,146
X-51,146
Madelyne Pryor,146
Adolf Hitler,145
Herman Schultz,145
Noriko Ashida,145
Chen Lu,144
Ulysses Klaw,143
Cessily Kincaid,143
Kyle Gibney,142
Jack Monroe,141
Madeline Joyce,140
George Tarleton,140
Jocasta,140
Peter Wisdom,140
Jeffrey Mace,139
Aquaria Neptunia,139
Dragon Man,139
Narya,138
Burglar,137
Dino Manelli,137
Peter Parker,137
Nightmare,136
Ronan,136
Thomas Halloway,135
Jasper Sitwell,134
Frank Payne,134
Paladin,134
Steel,134
Mad Thinker,133
Brian Calusky,133
Arthur Maddicks,133
Hedy Wolfe,132
Isadore Cohen,132
Dormammu,132
Makkari,131
Marlo Chandler,131
Percival Pinkerton,130
Quintavius Quire,130
Marla Madison,129
Cletus Kasady,129
Supreme Intelligence,128
Aragorn,128
Betty Dean,127
Karnilla,127
Jacqueline Falsworth,127
Caliban,127
Isaac Christians,127
Brock Rumlow,126
Paul Norbert Ebersol,125
Annihilus,125
Red Sonja,125
Jonathan Hart,125
Bambina Arbogast,125
Sooraya Qadir,125
Zeus Panhellenios,124
Randolph Robertson,124
Yao,122
Agatha Harkness,122
Jack Tarr,122
Katherine Bishop,122
Jason Wyngarde,121
Walter Newell,121
Joanna Cargill,121
Parker Robbins,121
Rocket Raccoon,120
Lyja,120
Georges Batroc,119
Wyatt Wingfoot,119
Henry Camp,119
Peter Quill,119
Marrow,119
Vision,119
William Kaplan,119
George Stacy,118
Mari,118
Todd Arliss,116
Hammerhead,116
Heinrich Zemo,115
Emil Blonsky,115
Arcturus Rann,115
James Woo,114
Frank Drake,114
Callisto,114
Dorma,113
Lonnie Lincoln,113
Doop,113
David Alleyne,113
Hepzibah,112
Charlie Cluster-7,112
Samuel Sawyer,111
Jacques Duquesne,111
Arcade,111
Mary Walker,111
Miguel Santos,111
Christopher Summers,110
Morris Bench,110
David Cannon,109
Prosh,109
Roderick Kingsley,108
Dominikos Petrakis,108
St. John Allerdyce,108
Mary MacPherran,108
Rita Wayword,108
Angelo Espinosa,108
Layla Miller,108
Leland Owlsley,107
Karl Lykos,107
Jason Macendale Jr.,107
Clay Harder,106
Frigga,106
Ikaris,106
Jack Power,106
Katherine Power,106
Sharon Ventura,105
Nico Minoru,105
Clive Reston,104
Idie Okonkwo,104
Robert Frank,103
Elizabeth Twoyoungmen,103
Everett Thomas,103
Danger,103
Dorrek VIII,103
Amadeus Cho,103
Phillip Masters,102
Joshua Foley,101
Karl Mordo,100
Eternity,100
William Foster,100
Leiko Wu,100
Chase Stein,100
Howard Hanover,100
Louise Grant,99
Grand Vizier,99
Pyreus Kril,99
Acroyear,99
Yuriko Oyama,99
Elijah Bradley,99
Frankie Raye,98
Jimaine Szardos,98
Bethany Cabe,98
Phillip Urich,98
Delroy Garrett Jr.,98
Anya Corazon,98
Victoria Hand,98
Margaret Carter,97
Clay Quartermain,97
Ghost,97
Jill Stacy,97
Abigail Brand,97
Carlie Cooper,97
Paul Duval,96
Blastaar,96
Jericho Drumm,96
Ruth Aldine,96
Azura,95
Cyclone,95
Matthew Masters,95
Luna Maximoff,95
Silhouette Chord,95
Attuma,94
Sally Blevins,94
James Sanders,93
Denis Nayland Smith,93
Andreas von Strucker,93
Patricia Tilby,93
Michael Collins,93
Groot,92
Vashti Cleito-Son,92
Eric Williams,92
Gaea,92
Raza Longknife,92
Rom,92
Selene Gallio,92
Norman Harold Osborn,92
Michiko Musashi,92
Skaar,92
Ulik,91
Roxanne Simpson,91
Sinthea Shmidt,91
George Washington Bridge,91
Molly Hayes,90
Klaus Voorhees,89
Vanisher,89
Skurge,88
Arthur Parks,88
Bernadette Rosenthal,88
Nathan Lubensky,87
David Haller,87
Lemar Hoskins,87
Donald Pierce,86
Joseph Chapman,86
Karolina Dean,86
Bastion,85
Kull,84
Satana Hellstrom,84
Laynia Petrovna,84
Night Raven,84
Kavita Rao,84
Danielle Cage,84
Frederick Foswell,83
John Greycrow,83
Michael Duffy,82
Eric Koenig,82
Zheng Zu,82
Keniuchio Harada,82
Irene Adler,82
Marrina Smallwood,82
Fred Davis Jr.,81
Zelda DuBois,81
Beyonder,81
Roxanne Washington,81
Bonita Juarez,80
Surtur,79
Stranger,79
Brandy Clark,79
Lillian Crawley,79
Ichabod,78
Russell Collins,78
Michael Badilino,78
Helen Takahama,78
En Sabah Nur,78
Dai Thomas,77
Maria Callasantos,77
Sally Avril,76
Ebenezer Laughton,76
Pluto,76
Arnim Zola,76
Mariko Yashida,76
Dallas Riordan,76
Hannibal King,75
Thomas Cassidy,75
Kara Killgrave,75
Jess\u00e1n Hoan,75
Daisy Johnson,75
John Horton,74
Cecilia Reyes,74
Barnell Bohusk,74
Victor Mancha,74
Awesome Android,73
Samuel Smithers,73
Wilbur Day,73
Silvio Manfredi,73
Richard Fisk,73
Edward Whelan,73
Donald Gill,73
Alani Ryan,73
Aarkus,72
Aloysius Kare,72
Ringo Kid,72
Maynard Tiboldt,72
Esteban Coraz\u00f3n de Ablo,72
Marvin Flumm,72
Nathaniel Richards,72
Kathryn Cushing,72
Cameron Hodge,72
Alistaire Stuart,72
Stacy Dolan,72
Sleepwalker,72
Ben Hamill,72
Ivan Kragoff,71
Marco Scarlotti,71
Jennifer Takeda,71
Broo,71
Robert Grayson,70
Boris Bullski,70
Maximillian Coleridge,70
Oracle,70
Hope Abbott,70
"Nicholas Fury, Jr.",70
Fin Fang Foom,69
Shalla-Bal,69
Samuel Saxon,69
Jean DeWolff,69
Blanche Sitznski,69
Tanya Sealy,69
Joy Mercado,69
Bennet du Paris,69
Martha Franklin,69
Bentley Wittman,69
Rachel van Helsing,68
Jerome Beechman,68
Tyros,68
Yukio,68
Lila Cheney,68
Thomas Fireheart,68
Everett Ross,68
Criti Noll,68
Kenneth Hale,67
Korg,67
Mark Raxton,67
Calvin Rankin,67
Basil Sandhurst,67
Hobie Brown,67
Topaz,67
Shadow King,67
William Cross,67
Lance Bannon,67
Rita DeMara,67
Tong,67
Romulus Augustulus,66
Super-Adaptoid,66
John Proudstar,66
Christoph Nord,66
Maya Lopez,66
Old Lace,66
Humberto Lopez,66
Morgan le Fay,65
Luchino Nefaria,65
Jennifer Kale,65
Douglas Scott,65
Ashley Kafka,65
Robert Herman,65
Shuri,65
Justin Hammer,64
Michael Steel,64
Kristoff Vernard,64
Gateway,64
Lily Hollister,64
Tyr Odinson,63
Krang,63
Zebediah Killgrave,63
En Dwi Gast,63
Arthur Stacy,63
David Griffith,63
Franklin Hall,63
Microtron,63
Sara Wolfe,63
Simon Utrecht,63
Vertigo,63
Armando Mu\u00f1oz,63
Jeanne Foucault,63
Bruno Horgan,62
Owen Reece,62
Phineas Mason,62
Man-Beast,62
Candace Southern,62
Heather Glenn,62
Rintrah,62
Kevin Masterson,62
Arkady Rossovich,62
Karima Shapandar,62
Norah Winters,62
Brandon Sharpe,62
Plan Chu,61
William Connors,61
Modred,61
James Darnell,61
Carnage,61
Venus,61
Lance Temple,60
Impossible Man,60
Robert Hunter,60
Onslaught,60
Irene Merryweather,60
E.V.A.,60
Mik,60
Kro,59
Toni Turner,59
Melvin Potter,59
Billy Russo,59
Anath-Na Mut,59
Gilgamesh,59
Rebecca Blake,59
Biotron,59
Ruth Bat-Seraph,59
Sofia Mantega,59
Nezhno Abidemi,59
Thomas Shepherd,59
Ken Mack,59
Turg,59
Ivan Petrovitch,58
Robert Diamond,58
Debra Whitman,58
Cassandra Webb,58
Claudette and Nicole St. Croix,58
Greg Willis,58
Korr,58
Daniel Brito,57
Jackson Brice,57
Quincy Harker,57
Duvid Fortunov,57
Philippa Sontag,57
Laurie Tromette,57
Max Modell,57
Arthur Pendragon,56
Hera Argeia,56
Johann Fennhoff,56
Mesmero,56
Martha Robertson,56
James Braddock Jr.,56
Ayesha,56
Nebula,56
Blackout,56
Garrison Kane,56
Phyla-Vell,56
Vil,56
Eliot Franklin,55
Psycho-Man,55
Humanoid Experimental Robot B-Type Integrated Electronics,55
Cleo Nefertiti,55
Fen,55
Martha Connors,54
Stan Lee,54
Athena Parthenos,54
Hector Ayala,54
Blake Tower,54
Dimitri Bukharin,54
Captain Universe,54
Mister Negative,54
William Lumpkin,53
Ego,53
Bova Ayrshire,53
Seth,53
Brian Falsworth,53
Nikolai Krylenko,53
Valinor,53
Ann Darnell,53
Alexander Pierce,53
Kayla Ballantine,53
Vanessa Carlysle,53
Donyell Taylor,53
Ken Ellis,53
Teon Macik,53
Wu,53
Eva Bell,53
Zuras,52
Kevin Marlow,52
Steven Rogers,52
Space Phantom,52
Tana Nile,52
Turk Barrett,52
Xandarian Worldmind,52
Argon,52
Fabian Stankowicz,52
Masque,52
Manuel de la Rocha,52
Kodiak Noatak,52
Graydon Creed,52
Max Eisenhardt,52
Seward Trainer,52
Tex Dawson,51
Gunther Bain,51
Jeryn Hogarth,51
Robert Farrell,51
Maximillian Zaran,51
Chons,51
Mikhail Ursus,51
Joshua Guthrie,51
Antonio Rodriguez,51
Jack Hammer,51
Neal Shaara,51
"John Jonah Jameson, Sr.",51
Terry Vance,50
Aphrodite Ourania,50
M-11,50
Sir Percy of Scandia,50
Deborah Harris,50
Llyra Morris,50
Robert Kelly,50
Susan Austin,50
Amelia Voght,50
Marshall Stone III,50
Alexei Kravinoff,50
Guy Smith,50
Tike Alicar,50
Eden Fesi,50
Raymond Dawson,49
Henry Tinkelbaum,49
Cookie Novak,49
Hank Kelly,49
Robert Rider,49
Tania Belinskaya,49
William Nasland,49
Roger Bochs,49
Marcus Stone,49
Deidre Wentworth,49
Fabian Cortez,49
Sharra Neramani,49
Rumiko Fujikawa,49
Gabriel Cohuelo,49
Phillip Coulson,49
Christopher Muse,49
Doctor Watson,48
Abraham Erskine,48
Umar,48
Satannish,48
Sha Shan,48
Blood Brothers,48
Nekra Sinclair,48
Abraham Brown,48
Mamie Muggins,48
In-Betweener,48
Eric Payne,48
Mentor,48
Starbolt,48
Manta,48
Lorelei,48
Grace Powell,48
Rick Sheridan,48
Frances Barrison,48
Shirley Washington,48
Tsu-Zana,48
Richard Gilmore,48
Tarene,48
Melati Kusuma,48
Jonas Graymalkin,48
Thakorr,48
Ulysses Bloodstone,47
Jack Pulver,47
Maxwell Markham,47
Baron Karza,47
Lindsay McCabe,47
Colin Hume,47
Jason Powell,47
Martha Johansson,47
Regan Wyngarde,47
Michael Pointer,47
Jerry Sledge,47
John Grey,46
Jonathan Murdock,46
Nicholas Bromwell,46
Edgar Plunder,46
Vanessa Fisk,46
Lissa Russell,46
Wundarr,46
Bertrand Crawley,46
Beverly Switzler,46
Stephanie Hunter,46
Rachel Carpenter,46
Francis Ketch,46
Jonathan Powell,46
Cerise,46
Jake Olson,46
Myles Alfred,46
Gertrude Yorkes,46
Alexander Aaron,46
Kubark,46
Elihas Starr,45
James Wilson,45
Claire Temple,45
Eon,45
Stuart Clarke,45
Malekith,45
Oswald Silkworth,45
Jesse Aaronson,45
Miranda Leevald,45
Angela del Toro,45
Laurie Collins,45
Gabriel Summers,45
Miek,45
Joseph Green,45
Maki Matsumoto,45
Mark Todd,44
Robert Baxter,44
Mordred,44
Alexander Gentry,44
Idunn,44
Ahmet Abdol,44
Jackson Norriss,44
Rafael Scarfe,44
Arishem,44
John Falsworth,44
Eshu,44
Erg,44
James Bourne,44
Abraham Zimmer,44
Laura Dean,44
Whitman Knapp,44
Christopher Bradley,44
Blind Al,44
Void,44
Brightwind,44
Red Raven,43
Roger Aubrey,43
Elaine Grey,43
Milos Masaryk,43
Vera Cantor,43
Noah Black,43
Charles Barton,43
Howard Stark,43
Martine Bancroft,43
Hildegarde,43
Lincoln Slade,43
Richard Rory,43
Wilhelm Lohmer,43
Jackson Day,43
Thursday Rubinstein,43
Slug,43
Belasco,43
Edward Lavell,43
Frank Simpson,43
Silas Burr,43
Carolyn Trainer,43
Carlos LaMuerto,43
Milla Donovan,43
Tomi Shishido,43
Samuel Alexander,43
Leila Taylor,42
Buck Cowan,42
Katerina van Horn,42
Lei-Kung,42
Lilith Drake,42
Gwendolyne Stacy,42
Grannz,42
Lord Chaos,42
Andromeda Attumasen,42
Blackheart,42
Pantu Hurageb,42
Walter Charles,42
Doreen Green,42
Peter Hunter,42
Algernon Crowe,42
Justine Hammer,42
Johnathon Gallo,42
Maria de Guadalupe Santiago,42
Elsa Bloodstone,42
Thor Odinson,42
Roger Brokeridge,42
Phineas Horton,41
Marie Lathrop,41
Byrrah,41
Orka,41
Grom,41
Noah Burstein,41
Lin Sun,41
Daniel Berkhart,41
Ransak,41
Simon Maddicks,41
Iann-23,41
Obadiah Stane,41
Martin Preston,41
Nick Katzenberg,41
Richard Parker,41
Century,41
Charles Burlingame,41
Kuan-Yin Xorn,41
Juston Seyfert,41
Sally Floyd,41
Gunna Sijurvald,41
Geoffrey Vandergill,40
Washington Jones,40
Phoebus Apollo,40
Leopold Stryke,40
Raymond Bloch,40
Mendel Stromm,40
Recorder 211,40
Yon-Rogg,40
Barbarus,40
Zarathos,40
Ajak,40
Araki,40
Munin,40
Sybil Dvorak,40
Daniel Leighton,40
Johnathon Ohnn,40
Andrew Chord,40
Demogoblin,40
Julius Mullarkey,40
Kiskillilla,40
Sarah Ryall,40
Shevaun Haldane,40
Steven Harmon,40
Scrier,40
James Santini,40
Janice Yanizeski,40
Paul Stacy,40
Dead Girl,40
Abigail Boylen,40
Sajani Jaffrey,40
Benjamin Deeds,40
Richard Parker,39
Steel Serpent,39
Jacob Conover,39
Miss Locke,39
Kaina,39
Aaron Nicholson,39
Amiko Kobayashi,39
Ghaur,39
Quincy McIver,39
Ulysses Lugman,39
Ananym,39
Silverfox,39
Mary Parker,39
Carlton LaFroyge,39
Cammille Benally,39
Brood,39
Rebecca Barnes,39
Cosmo,39
Fabio Medina,39
Henry Casey,38
Harrington Byrd,38
Marianne Rodgers,38
Victoria Bentley,38
Diane Arliss,38
Jonathan Powers,38
Amphibius,38
Susan Scarbo,38
Jarella,38
William Taurens,38
Daniel Drumm,38
Paul Cartier,38
Marduk Kurios,38
Electron,38
Karkas,38
William Stryker,38
Marie-Ange Colbert,38
Jackie Lukus,38
Niels,38
Melody Jacobs,38
Anne Ghazikhanian,38
Ernst,38
Geoffrey Wilder,38
Kevin Ford,38
Elloe Kaifi,38
Ahura Boltagon,38
Franklin Roosevelt,37
Penny Pennington,37
Simon Garth,37
Khan,37
Norton Fester,37
Brainchild,37
David Angar,37
Tilda Johnson,37
Meranno,37
Lancaster Sneed,37
Hermod,37
Gabrielle Haller,37
James Power,37
Goblyn,37
Marcy Masterson,37
Deathwatch,37
Elias Wirtham,37
Bella Donna Boudreaux,37
Ormond Wychwood,37
Yelena Belova,37
Tiberius Stone,37
William Robert Reilly,37
Madeline Berry,37
Night-Wind,36
Peotor,36
Bolivar Trask,36
Changeling,36
Mary Fitzpatrick,36
Monica Lynne,36
Spymaster,36
Peter Corbeau,36
Solomon Kane,36
Harold Harold,36
Courtney Ross,36
Master Order,36
Tryco Slatterus,36
Madcap,36
Ashley Crawford,36
Ramonda,36
Goddess,36
Carmella Unuscione,36
Jacob Raven,36
Steven Hudak,36
Ozymandias,36
Inez Temple,36
Monica Rappaccini,36
Alisa Tager,36
Ava Ayala,36
Arthur Nagan,35
Belit,35
Nu-An,35
Brock Jones,35
Steven Lang,35
Melissa Greville,35
Tiamut,35
Clytemnestra Erwin,35
Morley Erwin,35
Haroun ibn Sallah al-Rashid,35
Gustav Krueger,35
Foreigner,35
Kim Il Sung,35
Carl Burbank,35
Frank Bohannan,35
Gordon Fraley,35
Madeline Naylor,35
Charlotte Jones,35
Phoebe Marrs,35
Scott Wright,35
Mikhail Rasputin,35
Peter Parker,35
Zoe Culloden,35
Peter Parker,35
Devon Lewis,35
Agent X,35
Edwin Jarvis,35
Hiroim,35
John Aman,35
Romulus,35
Wernher von Blitzschlag,35
James Taylor James,35
Yo Yo Rodriguez,35
Melita Garner,35
Krakoa III,35
Mary Morgan,34
Poseidon Aegaeus,34
Hermes Diaktoros,34
Major Thorn,34
Arab,34
Igor,34
Chester Phillips,34
Aireo,34
Keith Kincaid,34
Gustav Brandt,34
William Talltrees,34
Tamara Rahn,34
Charles Rider,34
Richard Deacon,34
Ziran,34
Cilicia,34
Davida DeVito,34
Erica Sondheim,34
Karlin Malus,34
Margali Szardos,34
Nguyen Ngoc Coy,34
Raoul Bushman,34
Stick,34
Scourge,34
Quicksand,34
Val Ventura,34
Doug Powell,34
Amy Chen,34
Brendan Rathcoole,34
Lynn Michaels,34
Tigon Liger,34
Suzi Endo,34
Jessica Carradine,34
Nicholas Gleason,34
Barack Obama,34
Victor Alvarez,34
Grady Scraps,34
Francesca Grace,34
Matt Slade,33
Joseph Hogan,33
Barney Bushkin,33
Master Mold,33
Quasi-Motivational Destruct Organism,33
Mangog,33
Arkon,33
Ebony,33
Jonas Harrow,33
Vincent Stegron,33
Albert Potter,33
Archibald Dyker,33
Drew Daniels,33
Douglas Birely,33
Godzilla,33
Jackson Arvad,33
John Clayton,33
Julia Koenig,33
Sergei Krylov,33
Morris Walters,33
Jennifer Stavros,33
Colin McKay,33
Kathleen Neville,33
Julius Rassitano,33
Atalanta,33
Karl Striklan,33
Caretaker,33
Morg,33
Victoria Montesi,33
Kevin Trench,33
Jack Harrison,33
Alyssa Moy,33
Malcolm Colcord,33
Alex Wilder,33
Carmilla Black,33
Xavin,33
Predator X,33
Anastasia Kravinoff,33
Ezekiel Stane,33
Alistaire Smythe,33
Ho Yinsen,32
Living Brain,32
Carter Slade,32
Jay Little Bear,32
Phillip Sterling,32
Lawrence Cranston,32
Erik Killmonger,32
Integral Synaptic Anti-Anionic Computer,32
Zzzax,32
James Montgomery Falsworth,32
Samuels,32
Titan,32
Hugin,32
Steve Jackson,32
James Jaspers,32
Adversary,32
Gunnhild,32
Sharon Smith,32
Bonebreaker,32
Craig Hollis,32
Network Nina,32
Bronwen Gryffn,32
Mickey Fondozzi,32
Brent Jackson,32
Morlun,32
Dee Milo,32
Alice Hayes,32
Caiera,32
Hiro-Kala,32
Kelda,32
Sasha Hammer,32
Sebastian Druid,32
June Covington,32
Uatu Jackson,32
David Rand,31
Electro,31
Doris Evans,31
Bennett Brant,31
Geirrodur,31
Simon Savage,31
Alexi Shostakov,31
Maris Morlak,31
Ridondo,31
Samantha Parrington,31
Martin Blank,31
Bernie Dillon,31
Gammenon,31
Druig,31
Peter van Zante,31
Slaymaster,31
Yuriko Takiguchi,31
Philip Chang,31
Steve Hopkins,31
Seth Voelker,31
Sikorsky,31
Cloud,31
Mortimer,31
Beast,31
Jonathan Garrett,31
Duc No Tranh,31
Charles Little Sky,31
Jeff Wilde,31
Margarita Ruiz,31
Michael McCain,31
Stellaris,31
Gideon,31
Fatale,31
Marius St. Croix,31
Angelina Brancale,31
Delilah,31
William Walters,31
Jared Corbo,31
Maggott,31
Vincent Gonzales,31
Mar\u00eda Aracely Penalba,31
Isabel Kane,31
Bruce Dickson,30
Myraddin of Ruta,30
Tex Taylor,30
Adolf Hitler,30
Miklho,30
Ymir,30
Zelda Kurtzberg,30
Jacob Fury,30
Brule,30
Saint,30
Chthon,30
Edward Lansky,30
Gloria Rider,30
Nightside,30
Ord Zyonz,30
Sprite,30
Helen Feliciano,30
Daniel Ridge Jr.,30
Aleytys Forrester,30
Andrea von Strucker,30
Burchell Clemens,30
Janos Quested,30
Malice,30
DeMarr Davis,30
Richard Gill,30
Shinobi Shaw,30
Eadmund Porlock,30
Harley Davis,30
Lindy Lee,30
Sondra Brandenberg,30
Gene Hayes,30
Stacey Yorkes,30
Mallory Book,30
Andrew Forson,30
Bella Fishbach,30
Onome,30
Daniel Lyons,29
Red Hawk,29
Joshua Ayers,29
Maxwell Shiffman,29
Morgan Stark,29
Ultimo,29
Linda Carter,29
Simon Stroud,29
Wendell Rand,29
Aron,29
Margo Damian,29
Mastermind,29
Samuel Barone,29
Kris Keating,29
Vril-Rokk,29
Morris Sloan,29
Harry Leland,29
Hussar,29
Roland Burroughs,29
Morgana Blessing,29
Anthony Power,29
Calvin Carr,29
Raymond Sikorski,29
Vixen,29
Guido Sapristi,29
Margaret Craig,29
Marsha Rosenberg,29
Valgoth,29
Karl Morgenthau,29
Michael Baer,29
Kristine Watson,29
Hector,29
Michael Powell,29
Truett Hudson,29
Vali Halfling,29
Steven Levins,29
Siena Blaze,29
Angela Yin,29
Judas Traveller,29
Vincente Fortunato,29
Derek Khanata,29
Klara Prast,29
Terrance Ward,29
Dexter Bennett,29
Orb,29
Martinique Wyngarde,29
James Jankovicz,28
Mike Trapp,28
Mark Mason,28
Jim Lathrop,28
Bill Gregory,28
Harvey Schlemerman,28
Raymond Warren,28
Gordon Keefer,28
Frank Farnum,28
Tagar,28
Wladyslav Shinski,28
Craig Simpson,28
Basil Elks,28
Fah Lo Suee,28
Shen Kuei,28
Tath Ki,28
Toothgnasher,28
Harmony Young,28
Marcus Daniels,28
Roger Norvell,28
Maelstrom,28
Ulysses Archer,28
Thomas Corsi,28
Prism,28
Samuel John LaRoquette,28
Marcy Pearson,28
Jennifer Ransome,28
Justin Baldwin,28
Felix Alvarez,28
Kenjiro Tanaka,28
Malcolm McBride,28
Heather Tucker,28
Robert Steele,28
Gudrun Tyburn,28
Raul Quentino,28
Roderick Campbell,28
Devlor,28
Samuel Par\u00e9,28
Dale Yorkes,28
Deborah Fields,28
Sydren,28
Bob,28
Fat Cobra,28
Timothy Dugan,28
Henry Russo,28
Ai Apaec,28
Kirsten McDuffie,28
Emily Preston,28
Iara Dos Santos,28
Kevin Connor,28
Jack Frost,27
Robert Lathrop,27
Nightwind,27
Townshend Horgan,27
Hippolyta,27
Prester John,27
Leonus,27
Gaza,27
Servo-Guards,27
Air-Walker,27
Anton Miguel Rodriquez,27
Doctor Sun,27
Ginger Jaye,27
Roger Cooper,27
Ronald Reagan,27
Jennifer Royce,27
Kevin MacTaggert,27
Marian Pouncy,27
Murray Reese,27
Sharon Friedlander,27
Rae LaCoste,27
Phillip Moreau,27
Reptyl,27
Carrie Alexander,27
Jeremy Clarke,27
Hannah Fairmont,27
