Week,Title,Date,#,Lecture,Readings,Links,Keywords,Homework,Discussion,Lab,Quiz,Survey
,,Fri 5/17,20,Hypothesis Testing,CIT 11.3,https://inferentialthinking.com/chapters/11/3/Decisions_and_Uncertainty.html,"null and alternative hypotheses, test statistic, fair or unfair coin",,,,3. Quiz 3 covers Lectures 13-16,
8,Hypothesis and Permutation Testing,Mon 5/20,21,Hypothesis Testing and Total Variation Distance,"CIT 11.2, 11.4","https://inferentialthinking.com/chapters/11/2/Multiple_Categories.html, https://inferentialthinking.com/chapters/11/4/Error_Probabilities.html","fair or unfair coin, p-value, midterm exam scores, Alameda County jury, TVD",,,,,
,,Tue 5/21,,,,,,5. The Normal Distribution and the Central Limit Theorem,,,,
,,Wed 5/22,22,"TVD, Hypothesis Testing, and Permutation Testing",CIT 12.0-12.1,https://inferentialthinking.com/chapters/12/Comparing_Two_Samples.html,"confidence intervals for hypothesis testing, body temperature, smoking/babies",,8. The Central Limit Theorem and Hypothesis Testing,,,
,,Thu 5/23,,,,,,,,6. Hypothesis Testing,,
,,Fri 5/24,23,Permutation Testing,CIT 12.3,https://inferentialthinking.com/chapters/12/3/Deflategate.html,"smoking/babies, np.random.permutation, shuffling, Deflategate",,,,4. Quiz 4 covers Lectures 17-19,
9,Prediction,Mon 5/27,,**No Lecture (Memorial Day)**,,,,,,,,
,,Tue 5/28,,,,,,6. Hypothesis Testing and Permutation Testing,,,,
,,Wed 5/29,24,Correlation,CIT 15.0-15.2,https://inferentialthinking.com/chapters/15/Prediction.html,"association, correlation coefficient (r), predicting heights, regression line (su)",,9. Total Variation Distance and Permutation Testing,,,
,,Fri 5/31,25,Regression and Least Squares,CIT 15.2-15.4,https://inferentialthinking.com/chapters/15/2/Regression_Line.html,"regression line in original units, outliers, errors, RMSE, best fit, least squares",,,,5. Quiz 5 covers Lectures 20-23,
10,Review,Mon 6/3,26,Residuals and Inference,CIT 15.5-16.3,https://inferentialthinking.com/chapters/15/5/Visual_Diagnostics.html,"residuals, residual plots, patterns, datasaurus dozen, prediction intervals",,,,,
,,Tue 6/4,,,,,,Final Project,,,,
,,Wed 6/5,27,Review,,,,,10. Regression,,,
,,Thu 6/6,,,,,,,,7. Regression,,
,,Fri 6/7,28,"Review, Conclusion",,,,,,,,
,,Sat 6/8,,Final Exam (7-10PM),,,,,,,,SETs and End-of-Quarter Survey (due 8AM)
